answer,question
"1. Review Current Attribute Mappings
Go to
Microsoft Entra ID
(Azure AD)
Navigate to
Enterprise Applications
Select your
Power PDF
application
Click
Provisioning
in the left menu
Select
Attribute Mappings
2. Minimize Attribute Mappings
In the Attribute Mappings section, review all mapped attributes
Remove any additional attributes
not essential for basic user provisioning
Ensure your mapping includes
only the minimal required attributes
(as shown in this screenshot). Typically, these are:
userPrincipalName
→
userName
Switch([IsSoftDeleted],,""False"",""True"",True"",""False"")
→
active
displayName
→
displayName
mail
→
emails[type eq ""work""].value
objectId
→
externalId
3. Save and Test Configuration
Save
the updated attribute mapping
Go to the
Provisioning
section
Click
Restart provisioning
Monitor provisioning logs for new errors
4. Verify User Provisioning
Wait 10–15 minutes for the provisioning cycle to complete
Check the
Cloud Licensing Admin Portal
Confirm the user appears under
Products
with the correct email
If the Issue Persists
Additional Troubleshooting
Go to
Microsoft Entra ID
→
Enterprise Applications
→
Power PDF
→
Provisioning
Open
Provisioning logs
Find the error entry for the affected user
Click the error to view details
Take a screenshot
of the error details, especially from the
""Troubleshooting & Recommendations""
tab
Note:
In a couple of instances, the externalID field had to be removed in order to reprovision some users:",User Not Appearing in Cloud Licensing Admin Portal After Email Change
"The following process outlines the steps required to obtain a license for the Power PDF installation. Please adjust your backend accordingly.
The license administration is available at
https://admin.ppdf.tungstencloud.com/
The Power PDF desktop application performs license validation in three steps:
1. Sign in the user if not already signed in:
System browser opens
https://login.ppdf.tungstencloud.com/ppdfclsprdeuaadb2c.onmicrosoft.com/b2c_1a_powerpdf/oauth2/v2.0/authorize
?...
2. Check the user's assigned tenants (organizations):
HTTP POST
https://licensecheck.ppdf.tungstencloud.com/api/license/tenant
3. Check the user's product license:
HTTP POST
https://licensecheck.ppdf.tungstencloud.com/api/license/check
All URIs are standard HTTPS endpoints listening on port 443, with certificates issued by a regular CA.",Cloud License Server license verification
"Tungsten Automation Partners and Customers (all products and solutions).
We experienced network issues affecting some of our internal IT systems. We have successfully restored functionality to all core systems.
If you encounter any licensing issues going forward, please
open a Critical Case
with Tungsten Automation Technical Support via the
Tungsten Automation Customer Portal
. Partners should register issues through the
Tungsten Automation Partner Portal
. We will make every effort to provide new activation codes within the same business day.",License Activation Server and Software Download Disruption
"Question / Problem:
How to reopen a closed Support Case?
Answer / Solution:
Support Cases are closed sometimes automatically by the Support Portal Software. This happens if, after a certain period, no feedback is received from our customer. Closed Cases can be reopened 14 days after that they have been closed. If the Case is older then 14 days, you will have to open a new Case. You can refer to the old Case by the old Case Number.
To reopen a closed Case, you need to login to your Kofax Support Account and click on Cases and then on My Cases.
Here choose ""My Closed Cases"" from the menu on the left hand side.
Search for the closed Case in question and click on the Case Number. The closed Case will be shown. Click on ""Re-open closed Case"" to reopen the closed case.",How to reopen a closed Support Case
"Customizations, even if delivered by Tungsten Automation Professional Services, are not part of standard Tungsten Automation support. If you are looking to modify a customization, or if you encounter a problem with an existing customization, and you require Tungsten Automation assistance to address it, you would need to contact Tungsten Automation Professional Services to request an engagement.
Tungsten Automation Technical Support would be unable to comment on or assist with customization related issues.
Details on Tungsten Automation Professional Services and how to contact them are available here:
https://www.TungstenAutomation.com/professional-services
or via email at:
PSBusinessDevelopment@TungstenAutomation.com
Level of Complexity
Easy","Customizations: Adding, Updating, Troubleshooting and how to contact Professional Services"
"An Enhancement Request has been logged.
What is the general process for Enhancement Requests?
Is there a timeline associated with an enhancement?
Product Management periodically evaluates Enhancement Requests for
possible
inclusion in a future major release.
Their possible inclusion (or not), prioritization, and timing are determined by market needs and the functional/development level of complexity.
Enhancements that are completed will be noted in the Release Notes of major releases or service packs, which will be available in the relevant Product documentation set available
here
.
For details on how to receive notifications about releases and updates, refer to the
Release Announcements
article, which outlines how this can be achieved via the
Community
, and bookmark it as explained in the ""
Follow or bookmark a discussion
"" section.",Enhancement Requests
"You can find technical specification documentation for Tungsten Automation products centralized under the
https://docshield.tungstenautomation.com/
site.
Level of Complexity
Easy",Technical Specification Documents for Tungsten Automation products
"For details on the services and solutions that Tungsten Automation Professional Services offer, click on the following link:
Professional Services and Consulting
To contact Tungsten Automation Professional Services for inquiries, orders, or information, please email:
PSBusinessDevelopment@tungstenautomation.com
Or alternatively, you can reach out directly to your
Tungsten Automation Account Executive.
For
Tungsten Automation Partners:
Contact your Account Executive (Sales) or your Alliance Manager (
Tungsten Automation Partner organization
).
See Also:
Requesting assistance for a product upgrade, migration, or a new installation, and how to contact Professional Services
What to do when there is a problem with a customization, or I want to add or update a customization, and how to contact Professional Services",How to contact Tungsten Automation Professional Services
"New installations, system modifications, migrations and upgrades are not covered by the Tungsten Automation support maintenance contract. However, our Professional Services can be engaged to provide assistance in planning and executing such a project.
Details on Tungsten Automation Professional Services and how to contact them are available here:
https://www.tungstenautomation.com/professional-services
or via email at:
PSBusinessDevelopment@tungstenautomation.com
Level of Complexity
Easy","Requesting assistance for a product upgrade, migration or a new installation, and how to contact Professional Services"
"You can check the
Product Release and Sunset Schedules
for more information about release, limited and end of support for Tungsten Automation products.
Level of Complexity
Easy",Product Release and Sunset Schedules
"Please navigate to Sales Support contact page for quoting, pricing, orders, and non-technical inquiries:
Sales Support",Sales Support
"Information:
See the link below for FAQ regarding Kofax's rebranding to Tungsten Automation.
https://www.tungstenautomation.com/faq
If you still require assistance regarding billing, taxes (W9), name change, or invoicing, please send an email to
ar.ams@tungstenautomation.com",Rebranding Kofax to Tungsten Automation FAQ
Power PDF doesn't implement the related functions or similar functions and is therefore not affected by the CVE.,Is Power PDF affected by the CVE-2026-34621
"Necessary requirements for remote sessions involving access to end customers' server where Tungsten Automation software is installed. These requirements ensure smooth communication, effective troubleshooting, and compliance with contractual obligations.
1. Access Requirements:
Remote Access
: Partners/customers should provide reasonable remote access to the servers where Tungsten Automation software is installed.
Level of Control
: While full control may not always be granted due to security concerns, partners/customers should allow for a level of access that enables effective troubleshooting and support.
Options for Access
: This may include direct access to the servers, utilizing a jump box or sub-system designated for support purposes, or consideration of providing a jump box by the customer for remote access.
2. Knowledge of Software:
All Parties
: The designated contact person should possess sufficient knowledge of Tungsten Automation software to administer it and fulfill support obligations.
Partner Support:
The designated case contact is required to be properly trained/certified in Tungsten Automation software to administer and fulfill support obligations, including but not limited to, driving remote sessions.
Direct Support:
The designated case contact should possess sufficient knowledge in Tungsten Automation software to administer and fulfill support obligations, including but not limited to, driving remote sessions.
3. Minimum Requirements for Remote Sessions:
Communication Channels
: Ensure clear communication channels (e.g., chat, voice call) are established prior to the remote session.
Screen Sharing
: Partners/customers should be able to share their screen to facilitate visual inspection and troubleshooting.
Permission Levels
: Define the permission levels required for different types of remote access (e.g., view-only access, control access).
Preferred Tools
: The preferred tools for remote sessions include:
TeamViewer
Microsoft Teams with Remote Access control
Windows Quick Assist
WebEx
4. Disclaimers:
Requirements
: If the above requirements are not met, the company may be relieved from its obligations until all requirements are met if deemed critical.
Discussion and Resolution
: During discussions regarding access limitations, partners/customers should maintain a level of control while accommodating the company's requests to the extent possible.
This KB serves as a reference guide for all parties involved in remote sessions, emphasizing the importance of collaboration, communication, and adherence to contractual obligations.",Print & Workplace - Tungsten Automation Requirements for Remote Sessions
"For license of Power PDF purchased directly from Tungsten Automation (formerly Kofax), your order confirmation email will contain your download information and download time limit. For physical software purchased in a retail location, your software would be located in the box.
If you have lost your digital download or physical media, please contact technical support for options to obtain a replacement download.
Please note:
Tungsten Automation cannot provide downloads to software that is past End of Support, trial versions, OEM builds, or OEM Bundles. Tungsten Automation no longer offers replacement physical media.",Obtaining a Power PDF download
"Power PDF for Business (formally Power PDF Advanced Volume)
Power PDF Standard & Advanced (Non-volume versions)
Power PDF for Business
(formally Power PDF Advanced Volume)
Registration
Terms and SaaS licenses
For Power PDF for Business Term and SaaS licenses you may sign up and register your Cloud License Server tenant using the following link:
https://admin.ppdf.kofaxcloud.com/
To setup your Cloud License Server tenant please follow the Cloud License Server Guide on our
Documentation Portal
.
If you are planning to use our on-premise
Tungsten License Server
in lieu of the Cloud License Server please consult the License Server section of our
Network Deployment Guide
.
For Legacy Serial Keys:
Your key was registered to your organization at the time of ordering, no further action is needed to register.
Activation
Please consult the
Network Deployment Guide
. for instructions for deploying Power PDF for Business. Activation will automatically be handled based on the licensee type you are using and the configuration chosen.
Download
Power PDF for Business may be obtained from our
Tungsten Automation EDelivery Portal
.
Power PDF Standard & Advanced
(Non-volume versions)
Registration
Power PDF Standard and Power PDF Advanced licenses are registered through
https://register.kofax.com/serialregistration
.
Power PDF Advanced Volume licenses are non-transferable and are automatically registered to the organization at the time of purchase.
Activation
An activation wizard will automatically appear after installation of Power PDF. Follow the onscreen prompts to activate your software.
Versions of Power PDF prior to 3.1 will require our Activation Fix Utility ran in order to activate with Kofax. The tool may be downloaded at the following location:
https://supportcontent.kofax.com/KDI_Activation_Fix/KDI%20Activation_Fix.zip
Extract package, run Sethosts.exe and follow the on-screen prompts.
*Note if you have already tried to activate Windows may have cached the location, please launch your Windows Command prompt and run the command ""ipconfig /flushdns ""
Click Start, Type CMD, select Command Prompt. Type ipconfig /flushdns and press enter. Once complete try again to activate with the activation tool running.
Power PDF will automatically deactivate upon uninstall.
Download
Download instructions for
Power PDF Standard
and
Power PDF Advanced
purchased direct from Kofax are included with your original order confirmation email. Downloads are available for the period of time stipulated in our order confirmation. Kofax is unable to provide downloads for software past the end of support date.","Power PDF registration, activation, and download information"
"Eliminate Webex DLL Interference (Primary Fix):
Navigate to:
C:\Program Files (x86)\Webex\Plugins\
Rename or move the
components
folder.
Relaunch Power PDF.
This resolved:
Licensing error
Slow performance
Application crashes
(Optional) Repair Microsoft Visual C++ Redistributables:
Repair/reinstall:
Microsoft Visual C++ 2015–2022 (x86 & x64)
(If needed) Clean Reinstallation:
Uninstall Power PDF
Reboot system
Reinstall the latest version
Launch app before opening PDFs",How to resolve “License could not be checked” error caused by Webex DLL interference in Power PDF
"Power PDF - Quick Links
Knowledge and Solutions
Most Helpful Knowledge
(FAQ’s) Most common issues where knowledge can help
Search the Knowledge Portal
Documentation and Help files
Links to documentation help files
Tungsten Automation Community
Join the Tungsten Automation Community Discussion
Contacting Support
Product Information
Product Release Information
Product Download
Kofax eDelivery site
Licensing and Subscriptions
License or subscription purchase and renewal information
Other Services
Tungsten Automation Learning Cloud
Product Training and Certification
Professional Services
Product implementations, upgrades, and consulting to get the most out of your Tungsten Automation solution",Power PDF for Mac - Quick Links
"Knowledge and Solutions
Most Helpful Knowledge
(FAQ’s) Most common issues where knowledge can help
Search the Knowledge Portal
Documentation and Help files
Links to documentation help files
Tungsten Automation Community
Join the Tungsten Automation Community Discussion
Contacting Support
Product Information
Product Release Information
Product Download
Kofax eDelivery site
Licensing and Subscriptions
License or subscription purchase and renewal information
Other Services
Tungsten Automation Learning Cloud
Product Training and Certification
Professional Services
Product implementations, upgrades, and consulting to get the most out of your Tungsten Automation solution",Power PDF - Quick Links
"To resolve the issue, follow these steps:
1.
Verify the Form’s Field Logic
:
o
Open the eIntakeForm in Power PDF’s form editing mode.
o
Check the field properties for the Address checkboxes.
o
Ensure that each checkbox has unique field names or IDs.
2.
Inspect the Form’s Scripting
:
o
Review the JavaScript or other scripting logic controlling the toggling behavior of the checkboxes.
o
Ensure that the script dynamically adjusts for multiple accused entries and does not conflict with existing field names.
3.
Test the Form
:
o
Add multiple records and test the toggling behavior of the checkboxes for each entry.
o
Verify that the checkboxes toggle correctly for all accused entries.
4.
Apply Fix Pack 10
:
o
If the issue persists, ensure that the customer is using
Tungsten Power PDF Business 5.1.1 Fix Pack 10
, which addresses similar issues with interactive forms.
5.
Regression Testing
:
o
Since this form has been escalated previously, conduct thorough regression testing to ensure that the fix does not introduce new issues elsewhere in the form.",A custom button in an interactive form did not work in Power PDF (file-specific).
"To resolve this issue, follow one of the two solutions below:
Solution 1: Apply Registry Fix Manually
Back Up the Registry
:
Open the Windows Registry Editor by pressing
Win + R
, typing
regedit
, and pressing Enter.
Before making any changes, back up the registry:
Go to
File > Export
.
Save the backup in a secure location.
2. Create the Missing Registry Keys
:
Open a text editor (e.g., Notepad) and paste the following content:
Windows Registry Editor Version 5.00

[HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\PFU\ScanSnap Extension\Tungsten Power PDF Advanced]
@=""C:\\Program Files\\Tungsten\\Power PDF 2025\\ScanSnapAdapterU.exe""
""Adapter""=""C:\\Program Files\\Tungsten\\Power PDF 2025\\bin\\PowerPDF.exe""
""Config""=""C:\\ProgramData\\Kofax\\PDF\\V1\\ScanSnap.ini""
""Path""=""C:\\Program Files\\Tungsten\\Power PDF 2025""
3. Save and Import Registry File
:
Save the file as
ScanSnapFix.reg
.
Double-click the saved
.reg
file to import it into the Windows Registry.
Confirm any prompts to apply the changes.
4. Restart the Computer
:
Restart the computer to ensure the registry changes take effect.
5. Test the Scanner
:
Open Power PDF 2025.3 and verify that the Fujitsu ScanSnap scanners are now visible and functional.
Solution 2: Update Tungsten Power PDF to Fix Compatibility
Tungsten Automation released
Power PDF Business 2025.3 Update 2
, which addresses the issue where ScanSnap iX500 scanners were not detected.
Download the Update
:
Visit the official Tungsten Power PDF release notes:
Power PDF 2025.3.2 Update
.
Install the Update
:
Follow the instructions provided in the update documentation to install the patch.
Test the Scanner
:
Verify that the Fujitsu ScanSnap scanners are now working with the updated version of Power PDF.",Power PDF did not detect ScanSnap iX500 scanners.
"Help, Documentation, and Tutorials
All Help and Documentation is located in Power PDF under the Help/Online Help menu
Online documentation for Power PDF is located on
Kofax DocShield
Check out the latest Power PDF articles in the
Kofax Knowledge Base
Contacting Technical Support
Still need assistance, contact Technical Support:
Enterprise Customers
Do you have Power PDF for Business (Advanced Volume) license with valid M
aintenance, Term, or SaaS
Agreement?
Volume License customers with an active agreement, please log in to the
Support Portal
to raise support issues. Partners, please register your issues in the
Partner Portal
.
Do you need a Support Portal Account?
If you have a
valid contract
and wish to request a portal account, you can
access the requirements
for access on the
Customer Portal Account Request page
.
Global Technical Support Contact Information
Retail Customers
Do you have a Power PDF Standard or Advanced, single-user license, purchased through an online or retail store
?
Open a Support Case
*Single user licenses include a
90 day warranty
. Support beyond the warranty period is not available. For warranty assistance, please open a case via our online form. A valid case number is required to access our
phone system
.
eStore Customer Service
Do you have an issue with our Kofax Online Order, please contact our eStore Customer Service
eStore Customer Service
‎(888) 247-1614 (USA/Canada)
‎+31 88 000 0008 (International)",Getting Help with Power PDF
"To disable thumbnail generation for PDF files in Windows 11, follow the steps below based on your version of Power PDF:
Steps to Disable Thumbnail Generation
Open the
Command Prompt
with administrative privileges:
Press
Win + S
, type
cmd
, right-click on
Command Prompt
, and select
Run as administrator
.
Run the appropriate command for your version of Power PDF:
Power PDF 2025.3
regsvr32 /u ""c:\Program Files\Tungsten\Power PDF 2025\bin\zThumb.dll""
Power PDF 5.1
regsvr32 /u ""C:\Program Files (x86)\Kofax\Power PDF 51\bin\zThumb.dll""
Power PDF 5.0
regsvr32 /u ""C:\Program Files (x86)\Kofax\Power PDF 5\bin\zThumb.dll""
If you installed Power PDF in a custom location, adjust the file path in the command accordingly.
After running the command, you should see a confirmation message indicating that the DLL has been successfully unregistered.
Restart your computer to apply the changes.",How to Disable Thumbnail Generation for PDF Files in Windows 11
"When logging is needed for Power PDF 2025.3, log files for both 64 and 32 bit processing should be collected.
64-Bit:
To enable 64 bit logging,
first remove/rename RECDIAG_LOG.ini which is 1kb in size
then rename the file 'RECDIAG_LOG.in_' to 'RECDIAG_LOG.ini' file found in the installation folder which is typically ""C:\Program Files\Tungsten\Power PDF 2025"".
In some cases, renaming this file will require admin rights, but this depends on the customers environment and user permissions
32-Bit:
To enable 32 bit logging,
first remove/rename RECDIAG_LOG.ini which is 1kb in size
rename the file 'RECDIAG_LOG.in_' to 'RECDIAG_LOG.ini' file found in the x64 folder within the installation folder which is typically "" C:\Program Files\Tungsten\Power PDF 2025\x86"".
Once the 'RECDIAG_LOG.ini' file is in place in both locations, create a folder named 'RECDIAG' in the C:\TEMP folder for the logs to be written.
If this folder is not manually created before testing, the logs will not be created (C:\temp\recdiag).
Power PDF should start writing logs to C:\temp\recdiag as soon as the software is launched.
When testing is complete, be sure to rename the file 'RECDIAG_LOG.ini' back to 'RECDIAG_LOG.in_' so Power PDF does not continue logging, and send those to the support team",How to collect x32 & x64 bit log files for Power PDF 2025.3
"Power PDF Fixpack 5.1.1.11 resolves the document-reducing slowness issue.
From fixpack 5.1.1.11 readme file
Issues resolved in this fix pack
809847
: Document reduction time increased since fix pack 5.1.1.2.",Having issues resizing PDFs with Power PDF. It is taking an unusual amount of time to resize documents. Even ones as small as 1 GB. The screen shows not responding more than 4 minutes.
"ISSUE:
How to show the Microsoft Purview Information Protection label notification bar - by default not shown after fixpack 5.1 fixpack 10 or later updates are applied - and this cannot be controlled within the network customization tool kit.
Where is this stored?
SOLUTION:
Microsoft Purview Information Protection is a feature that is enabled in the base install and can be leveraged.
You can check your Security tab to see if it is there (see below) and when configured, we only prompt the label and user for authentication beyond fixpack 10 updates or later is configured and deployed for Power PDF 5.1 *and when they open an encypted document.
A PDF itself saved with only a sensitivty label will not prompt or show a label.
There is a registry key, which we expect it to be set this way [out of the box; hiding the label banner]
[HKEY_CURRENT_USER\Software\Kofax\PDF\Kofax Power PDF\Preference]
""ShowNotificaton""=dword:00000000 [Disabled]
Enabled would should look like this; and this key can be pushed out to impact the checkbox in the below screenshot:
""ShowNotificaton""=dword:00000001 [Enabled]
This has been also proposed to be added to the network customization tool kit but it currently has to be set via the current user registry since the new features were introduced in late 2025 with the power PDF 5.1 and 2025.3 releases [for business] offering improved Microsoft Purview document encryption abilities and features for the product.
After reviewing this and planning the deployment; please open a support ticket should further questions need to be reviewed on Microsoft Purview document encryption workflows.",How to show Purview Information Protection label notification bar - by default since in version 5.1 its designed to not now by default
"Issue:
After installing fixpack 12 to update power PDF 5.1; iManage users are reporting single sign on challenges, with the pop up
""An error occurred during authorization"" appearing when normally would complete the authentication process using the same configuration.
Cause:
Power PDF’s work 10 connector client ID has been changed away from the documented value of: ‘00fb6221-3f3f-4b48-85e1-d2e49c8fd44f’ and instead tries to connect with ‘client_id=a150b9d5-8767-42a0-96ff-874c3e2600bc’ which causes the log in exchange to fail on iManage cloud and those that authenticate without SSO, username/password are unaffected
Solution and fix ETA:
Power PDF engineering has produced a fix for this issue, which is available from Support as a fixed copy of imanage10.dll as well at this link to ""i
Manage10 devbin.zip
""
This will be included in the upcoming fixpack 14 release, which is going through the release process and documentation and is planned to be available next week by the end of February 2026.",An error occurred during authorization appears with the iManage Connector in 5.1 fixpack 12
"and fix ETA:
Power PDF engineering has produced a fix for this issue, which is available from Support as a fixed copy of imanage10.dll as well at this link to ""i
Manage10 devbin.zip
""
This will be included in the upcoming fixpack 14 release, which is going through the release process and documentation and is planned to be available next week by the end of February 2026.
Instructions:
Extract the zip file, right click the dll file included, choosing properties in windows explorer
If it shows ""blocked,"" tick the box to unblock the file so it can be read correctly.
Click on apply and ok with imanage.dll [if required]
if not seeing this; consider its already unblocked; move on to replacing the files in Power PDF to fix the problem
close the application, and ensure that if iwsessioncache.exe is not running - if so this stores tokens so it can be closed in task manager.
BACKUP: C:\Program Files (x86)\Kofax\Power PDF 51\bin\Connectors\imanage10.dll and change extension to .old
REPLACE: the dll with the new fixed copy from this delivery in the same folder.
Open powerPDF, and now try to authenticate to iManage using single sign on [SSO]",Power PDF 5.1 fixpack 12 fails to authenticate into iManage displaying the IManage 10 Connection error 'NoneType' object has no attribute 'get'
